neurons,autapses,actual_edges,uni,bi,potential_edges,null
363,0,1750,1712,19,131406,63972
363,0,1750,1724,13,131406,63966
363,0,1750,1694,28,131406,63981
363,0,1750,1704,23,131406,63976
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1714,18,131406,63971
363,0,1750,1712,19,131406,63972
363,0,1750,1714,18,131406,63971
363,0,1750,1712,19,131406,63972
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1698,26,131406,63979
363,0,1750,1708,21,131406,63974
363,0,1750,1694,28,131406,63981
363,0,1750,1714,18,131406,63971
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1714,18,131406,63971
363,0,1750,1716,17,131406,63970
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1702,24,131406,63977
363,0,1750,1708,21,131406,63974
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1716,17,131406,63970
363,0,1750,1698,26,131406,63979
363,0,1750,1724,13,131406,63966
363,0,1750,1720,15,131406,63968
363,0,1750,1708,21,131406,63974
363,0,1750,1712,19,131406,63972
363,0,1750,1722,14,131406,63967
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1732,9,131406,63962
363,0,1750,1716,17,131406,63970
363,0,1750,1684,33,131406,63986
363,0,1750,1718,16,131406,63969
363,0,1750,1710,20,131406,63973
363,0,1750,1706,22,131406,63975
363,0,1750,1716,17,131406,63970
363,0,1750,1726,12,131406,63965
363,0,1750,1716,17,131406,63970
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1722,14,131406,63967
363,0,1750,1708,21,131406,63974
363,0,1750,1704,23,131406,63976
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1712,19,131406,63972
363,0,1750,1700,25,131406,63978
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1726,12,131406,63965
363,0,1750,1698,26,131406,63979
363,0,1750,1704,23,131406,63976
363,0,1750,1714,18,131406,63971
363,0,1750,1706,22,131406,63975
363,0,1750,1710,20,131406,63973
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1714,18,131406,63971
363,0,1750,1722,14,131406,63967
363,0,1750,1698,26,131406,63979
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1698,26,131406,63979
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1714,18,131406,63971
363,0,1750,1716,17,131406,63970
363,0,1750,1700,25,131406,63978
363,0,1750,1720,15,131406,63968
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1722,14,131406,63967
363,0,1750,1708,21,131406,63974
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1694,28,131406,63981
363,0,1750,1692,29,131406,63982
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1726,12,131406,63965
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1680,35,131406,63988
363,0,1750,1708,21,131406,63974
363,0,1750,1680,35,131406,63988
363,0,1750,1718,16,131406,63969
363,0,1750,1704,23,131406,63976
363,0,1750,1694,28,131406,63981
363,0,1750,1696,27,131406,63980
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1702,24,131406,63977
363,0,1750,1708,21,131406,63974
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1714,18,131406,63971
363,0,1750,1706,22,131406,63975
363,0,1750,1716,17,131406,63970
363,0,1750,1704,23,131406,63976
363,0,1750,1718,16,131406,63969
363,0,1750,1714,18,131406,63971
363,0,1750,1696,27,131406,63980
363,0,1750,1696,27,131406,63980
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1706,22,131406,63975
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1692,29,131406,63982
363,0,1750,1706,22,131406,63975
363,0,1750,1694,28,131406,63981
363,0,1750,1704,23,131406,63976
363,0,1750,1704,23,131406,63976
363,0,1750,1686,32,131406,63985
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1692,29,131406,63982
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1710,20,131406,63973
363,0,1750,1714,18,131406,63971
363,0,1750,1690,30,131406,63983
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1698,26,131406,63979
363,0,1750,1714,18,131406,63971
363,0,1750,1690,30,131406,63983
363,0,1750,1706,22,131406,63975
363,0,1750,1718,16,131406,63969
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1708,21,131406,63974
363,0,1750,1702,24,131406,63977
363,0,1750,1698,26,131406,63979
363,0,1750,1710,20,131406,63973
363,0,1750,1728,11,131406,63964
363,0,1750,1698,26,131406,63979
363,0,1750,1696,27,131406,63980
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1702,24,131406,63977
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1710,20,131406,63973
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1718,16,131406,63969
363,0,1750,1694,28,131406,63981
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1694,28,131406,63981
363,0,1750,1718,16,131406,63969
363,0,1750,1710,20,131406,63973
363,0,1750,1694,28,131406,63981
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1722,14,131406,63967
363,0,1750,1702,24,131406,63977
363,0,1750,1716,17,131406,63970
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1696,27,131406,63980
363,0,1750,1706,22,131406,63975
363,0,1750,1698,26,131406,63979
363,0,1750,1700,25,131406,63978
363,0,1750,1690,30,131406,63983
363,0,1750,1710,20,131406,63973
363,0,1750,1720,15,131406,63968
363,0,1750,1688,31,131406,63984
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1704,23,131406,63976
363,0,1750,1694,28,131406,63981
363,0,1750,1706,22,131406,63975
363,0,1750,1708,21,131406,63974
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1714,18,131406,63971
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1692,29,131406,63982
363,0,1750,1716,17,131406,63970
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1706,22,131406,63975
363,0,1750,1710,20,131406,63973
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1714,18,131406,63971
363,0,1750,1716,17,131406,63970
363,0,1750,1706,22,131406,63975
363,0,1750,1698,26,131406,63979
363,0,1750,1702,24,131406,63977
363,0,1750,1690,30,131406,63983
363,0,1750,1708,21,131406,63974
363,0,1750,1706,22,131406,63975
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1696,27,131406,63980
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1714,18,131406,63971
363,0,1750,1708,21,131406,63974
363,0,1750,1716,17,131406,63970
363,0,1750,1706,22,131406,63975
363,0,1750,1722,14,131406,63967
363,0,1750,1686,32,131406,63985
363,0,1750,1710,20,131406,63973
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1692,29,131406,63982
363,0,1750,1714,18,131406,63971
363,0,1750,1696,27,131406,63980
363,0,1750,1696,27,131406,63980
363,0,1750,1696,27,131406,63980
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1704,23,131406,63976
363,0,1750,1692,29,131406,63982
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1696,27,131406,63980
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1692,29,131406,63982
363,0,1750,1706,22,131406,63975
363,0,1750,1720,15,131406,63968
363,0,1750,1696,27,131406,63980
363,0,1750,1714,18,131406,63971
363,0,1750,1690,30,131406,63983
363,0,1750,1708,21,131406,63974
363,0,1750,1714,18,131406,63971
363,0,1750,1710,20,131406,63973
363,0,1750,1710,20,131406,63973
363,0,1750,1698,26,131406,63979
363,0,1750,1712,19,131406,63972
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1712,19,131406,63972
363,0,1750,1698,26,131406,63979
363,0,1750,1688,31,131406,63984
363,0,1750,1700,25,131406,63978
363,0,1750,1714,18,131406,63971
363,0,1750,1698,26,131406,63979
363,0,1750,1712,19,131406,63972
363,0,1750,1684,33,131406,63986
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1694,28,131406,63981
363,0,1750,1692,29,131406,63982
363,0,1750,1696,27,131406,63980
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1698,26,131406,63979
363,0,1750,1722,14,131406,63967
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1698,26,131406,63979
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1718,16,131406,63969
363,0,1750,1698,26,131406,63979
363,0,1750,1716,17,131406,63970
363,0,1750,1712,19,131406,63972
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1712,19,131406,63972
363,0,1750,1710,20,131406,63973
363,0,1750,1692,29,131406,63982
363,0,1750,1678,36,131406,63989
363,0,1750,1690,30,131406,63983
363,0,1750,1698,26,131406,63979
363,0,1750,1686,32,131406,63985
363,0,1750,1694,28,131406,63981
363,0,1750,1704,23,131406,63976
363,0,1750,1700,25,131406,63978
363,0,1750,1694,28,131406,63981
363,0,1750,1692,29,131406,63982
363,0,1750,1720,15,131406,63968
363,0,1750,1704,23,131406,63976
363,0,1750,1712,19,131406,63972
363,0,1750,1690,30,131406,63983
363,0,1750,1704,23,131406,63976
363,0,1750,1696,27,131406,63980
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1712,19,131406,63972
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1696,27,131406,63980
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1708,21,131406,63974
363,0,1750,1698,26,131406,63979
363,0,1750,1700,25,131406,63978
363,0,1750,1714,18,131406,63971
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1714,18,131406,63971
363,0,1750,1716,17,131406,63970
363,0,1750,1714,18,131406,63971
363,0,1750,1698,26,131406,63979
363,0,1750,1702,24,131406,63977
363,0,1750,1708,21,131406,63974
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1692,29,131406,63982
363,0,1750,1698,26,131406,63979
363,0,1750,1702,24,131406,63977
363,0,1750,1720,15,131406,63968
363,0,1750,1714,18,131406,63971
363,0,1750,1710,20,131406,63973
363,0,1750,1716,17,131406,63970
363,0,1750,1700,25,131406,63978
363,0,1750,1692,29,131406,63982
363,0,1750,1698,26,131406,63979
363,0,1750,1698,26,131406,63979
363,0,1750,1714,18,131406,63971
363,0,1750,1708,21,131406,63974
363,0,1750,1716,17,131406,63970
363,0,1750,1704,23,131406,63976
363,0,1750,1690,30,131406,63983
363,0,1750,1698,26,131406,63979
363,0,1750,1712,19,131406,63972
363,0,1750,1700,25,131406,63978
363,0,1750,1694,28,131406,63981
363,0,1750,1706,22,131406,63975
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1692,29,131406,63982
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1698,26,131406,63979
363,0,1750,1698,26,131406,63979
363,0,1750,1698,26,131406,63979
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1698,26,131406,63979
363,0,1750,1696,27,131406,63980
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1706,22,131406,63975
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1706,22,131406,63975
363,0,1750,1698,26,131406,63979
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1710,20,131406,63973
363,0,1750,1692,29,131406,63982
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1678,36,131406,63989
363,0,1750,1702,24,131406,63977
363,0,1750,1702,24,131406,63977
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1716,17,131406,63970
363,0,1750,1696,27,131406,63980
363,0,1750,1706,22,131406,63975
363,0,1750,1692,29,131406,63982
363,0,1750,1694,28,131406,63981
363,0,1750,1696,27,131406,63980
363,0,1750,1698,26,131406,63979
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1706,22,131406,63975
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1694,28,131406,63981
363,0,1750,1718,16,131406,63969
363,0,1750,1710,20,131406,63973
363,0,1750,1710,20,131406,63973
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1710,20,131406,63973
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1716,17,131406,63970
363,0,1750,1712,19,131406,63972
363,0,1750,1718,16,131406,63969
363,0,1750,1698,26,131406,63979
363,0,1750,1698,26,131406,63979
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1716,17,131406,63970
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1704,23,131406,63976
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1714,18,131406,63971
363,0,1750,1712,19,131406,63972
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1712,19,131406,63972
363,0,1750,1694,28,131406,63981
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1710,20,131406,63973
363,0,1750,1706,22,131406,63975
363,0,1750,1710,20,131406,63973
363,0,1750,1718,16,131406,63969
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1716,17,131406,63970
363,0,1750,1686,32,131406,63985
363,0,1750,1686,32,131406,63985
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1716,17,131406,63970
363,0,1750,1706,22,131406,63975
363,0,1750,1710,20,131406,63973
363,0,1750,1714,18,131406,63971
363,0,1750,1706,22,131406,63975
363,0,1750,1698,26,131406,63979
363,0,1750,1686,32,131406,63985
363,0,1750,1704,23,131406,63976
363,0,1750,1700,25,131406,63978
363,0,1750,1702,24,131406,63977
363,0,1750,1686,32,131406,63985
363,0,1750,1714,18,131406,63971
363,0,1750,1686,32,131406,63985
363,0,1750,1714,18,131406,63971
363,0,1750,1708,21,131406,63974
363,0,1750,1726,12,131406,63965
363,0,1750,1700,25,131406,63978
363,0,1750,1702,24,131406,63977
363,0,1750,1700,25,131406,63978
363,0,1750,1702,24,131406,63977
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1692,29,131406,63982
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1702,24,131406,63977
363,0,1750,1716,17,131406,63970
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1696,27,131406,63980
363,0,1750,1706,22,131406,63975
363,0,1750,1718,16,131406,63969
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1692,29,131406,63982
363,0,1750,1710,20,131406,63973
363,0,1750,1712,19,131406,63972
363,0,1750,1698,26,131406,63979
363,0,1750,1708,21,131406,63974
363,0,1750,1704,23,131406,63976
363,0,1750,1704,23,131406,63976
363,0,1750,1700,25,131406,63978
363,0,1750,1698,26,131406,63979
363,0,1750,1696,27,131406,63980
363,0,1750,1708,21,131406,63974
363,0,1750,1694,28,131406,63981
363,0,1750,1698,26,131406,63979
363,0,1750,1708,21,131406,63974
363,0,1750,1702,24,131406,63977
363,0,1750,1706,22,131406,63975
363,0,1750,1704,23,131406,63976
363,0,1750,1718,16,131406,63969
363,0,1750,1694,28,131406,63981
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1698,26,131406,63979
363,0,1750,1708,21,131406,63974
363,0,1750,1718,16,131406,63969
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1702,24,131406,63977
363,0,1750,1716,17,131406,63970
363,0,1750,1694,28,131406,63981
363,0,1750,1706,22,131406,63975
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1710,20,131406,63973
363,0,1750,1680,35,131406,63988
363,0,1750,1688,31,131406,63984
363,0,1750,1698,26,131406,63979
363,0,1750,1700,25,131406,63978
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1712,19,131406,63972
363,0,1750,1710,20,131406,63973
363,0,1750,1706,22,131406,63975
363,0,1750,1700,25,131406,63978
363,0,1750,1724,13,131406,63966
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1712,19,131406,63972
363,0,1750,1706,22,131406,63975
363,0,1750,1714,18,131406,63971
363,0,1750,1708,21,131406,63974
363,0,1750,1690,30,131406,63983
363,0,1750,1714,18,131406,63971
363,0,1750,1708,21,131406,63974
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1690,30,131406,63983
363,0,1750,1716,17,131406,63970
363,0,1750,1706,22,131406,63975
363,0,1750,1716,17,131406,63970
363,0,1750,1710,20,131406,63973
363,0,1750,1698,26,131406,63979
363,0,1750,1696,27,131406,63980
363,0,1750,1694,28,131406,63981
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1710,20,131406,63973
363,0,1750,1710,20,131406,63973
363,0,1750,1698,26,131406,63979
363,0,1750,1704,23,131406,63976
363,0,1750,1722,14,131406,63967
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1704,23,131406,63976
363,0,1750,1698,26,131406,63979
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1696,27,131406,63980
363,0,1750,1706,22,131406,63975
363,0,1750,1696,27,131406,63980
363,0,1750,1710,20,131406,63973
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1708,21,131406,63974
363,0,1750,1696,27,131406,63980
363,0,1750,1700,25,131406,63978
363,0,1750,1700,25,131406,63978
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1698,26,131406,63979
363,0,1750,1710,20,131406,63973
363,0,1750,1700,25,131406,63978
363,0,1750,1704,23,131406,63976
363,0,1750,1700,25,131406,63978
363,0,1750,1708,21,131406,63974
363,0,1750,1702,24,131406,63977
363,0,1750,1696,27,131406,63980
363,0,1750,1708,21,131406,63974
363,0,1750,1686,32,131406,63985
363,0,1750,1714,18,131406,63971
363,0,1750,1702,24,131406,63977
363,0,1750,1698,26,131406,63979
363,0,1750,1712,19,131406,63972
363,0,1750,1714,18,131406,63971
363,0,1750,1706,22,131406,63975
363,0,1750,1694,28,131406,63981
363,0,1750,1712,19,131406,63972
363,0,1750,1704,23,131406,63976
363,0,1750,1686,32,131406,63985
363,0,1750,1702,24,131406,63977
363,0,1750,1696,27,131406,63980
363,0,1750,1694,28,131406,63981
363,0,1750,1694,28,131406,63981
363,0,1750,1710,20,131406,63973
363,0,1750,1724,13,131406,63966
363,0,1750,1712,19,131406,63972
363,0,1750,1716,17,131406,63970
363,0,1750,1718,16,131406,63969
363,0,1750,1690,30,131406,63983
363,0,1750,1716,17,131406,63970
363,0,1750,1712,19,131406,63972
363,0,1750,1708,21,131406,63974
363,0,1750,1716,17,131406,63970
363,0,1750,1700,25,131406,63978
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1696,27,131406,63980
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1690,30,131406,63983
363,0,1750,1698,26,131406,63979
363,0,1750,1702,24,131406,63977
363,0,1750,1710,20,131406,63973
363,0,1750,1704,23,131406,63976
363,0,1750,1708,21,131406,63974
363,0,1750,1692,29,131406,63982
363,0,1750,1706,22,131406,63975
363,0,1750,1704,23,131406,63976
363,0,1750,1724,13,131406,63966
363,0,1750,1694,28,131406,63981
363,0,1750,1700,25,131406,63978
363,0,1750,1686,32,131406,63985
363,0,1750,1696,27,131406,63980
363,0,1750,1708,21,131406,63974
363,0,1750,1700,25,131406,63978
363,0,1750,1712,19,131406,63972
363,0,1750,1706,22,131406,63975
363,0,1750,1704,23,131406,63976
363,0,1750,1684,33,131406,63986
363,0,1750,1702,24,131406,63977
363,0,1750,1716,17,131406,63970
363,0,1750,1710,20,131406,63973
363,0,1750,1698,26,131406,63979
363,0,1750,1720,15,131406,63968
363,0,1750,1696,27,131406,63980
363,0,1750,1710,20,131406,63973
363,0,1750,1702,24,131406,63977
363,0,1750,1714,18,131406,63971
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1702,24,131406,63977
363,0,1750,1704,23,131406,63976
363,0,1750,1702,24,131406,63977
363,0,1750,1690,30,131406,63983
363,0,1750,1678,36,131406,63989
363,0,1750,1704,23,131406,63976
363,0,1750,1688,31,131406,63984
363,0,1750,1704,23,131406,63976
363,0,1750,1704,23,131406,63976
363,0,1750,1712,19,131406,63972
363,0,1750,1698,26,131406,63979
363,0,1750,1714,18,131406,63971
363,0,1750,1696,27,131406,63980
363,0,1750,1704,23,131406,63976
363,0,1750,1724,13,131406,63966
363,0,1750,1702,24,131406,63977
363,0,1750,1712,19,131406,63972
363,0,1750,1692,29,131406,63982
363,0,1750,1686,32,131406,63985
363,0,1750,1714,18,131406,63971
363,0,1750,1700,25,131406,63978
363,0,1750,1706,22,131406,63975
363,0,1750,1712,19,131406,63972
363,0,1750,1704,23,131406,63976
363,0,1750,1706,22,131406,63975
363,0,1750,1690,30,131406,63983
363,0,1750,1710,20,131406,63973
363,0,1750,1696,27,131406,63980
363,0,1750,1698,26,131406,63979
363,0,1750,1710,20,131406,63973
363,0,1750,1720,15,131406,63968
