neurons,autapses,actual_edges,uni,bi,potential_edges,null
100,0,622,582,20,9900,4348
100,0,622,586,18,9900,4346
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,594,14,9900,4342
100,0,622,578,22,9900,4350
100,0,622,566,28,9900,4356
100,0,622,590,16,9900,4344
100,0,622,564,29,9900,4357
100,0,622,574,24,9900,4352
100,0,622,562,30,9900,4358
100,0,622,566,28,9900,4356
100,0,622,576,23,9900,4351
100,0,622,582,20,9900,4348
100,0,622,584,19,9900,4347
100,0,622,574,24,9900,4352
100,0,622,570,26,9900,4354
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,568,27,9900,4355
100,0,622,574,24,9900,4352
100,0,622,582,20,9900,4348
100,0,622,578,22,9900,4350
100,0,622,582,20,9900,4348
100,0,622,586,18,9900,4346
100,0,622,590,16,9900,4344
100,0,622,584,19,9900,4347
100,0,622,582,20,9900,4348
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,566,28,9900,4356
100,0,622,586,18,9900,4346
100,0,622,578,22,9900,4350
100,0,622,590,16,9900,4344
100,0,622,580,21,9900,4349
100,0,622,564,29,9900,4357
100,0,622,572,25,9900,4353
100,0,622,582,20,9900,4348
100,0,622,572,25,9900,4353
100,0,622,582,20,9900,4348
100,0,622,576,23,9900,4351
100,0,622,574,24,9900,4352
100,0,622,562,30,9900,4358
100,0,622,584,19,9900,4347
100,0,622,592,15,9900,4343
100,0,622,576,23,9900,4351
100,0,622,588,17,9900,4345
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,562,30,9900,4358
100,0,622,586,18,9900,4346
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,576,23,9900,4351
100,0,622,570,26,9900,4354
100,0,622,578,22,9900,4350
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,588,17,9900,4345
100,0,622,580,21,9900,4349
100,0,622,586,18,9900,4346
100,0,622,576,23,9900,4351
100,0,622,574,24,9900,4352
100,0,622,584,19,9900,4347
100,0,622,586,18,9900,4346
100,0,622,586,18,9900,4346
100,0,622,584,19,9900,4347
100,0,622,582,20,9900,4348
100,0,622,572,25,9900,4353
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,564,29,9900,4357
100,0,622,574,24,9900,4352
100,0,622,568,27,9900,4355
100,0,622,574,24,9900,4352
100,0,622,564,29,9900,4357
100,0,622,590,16,9900,4344
100,0,622,556,33,9900,4361
100,0,622,590,16,9900,4344
100,0,622,588,17,9900,4345
100,0,622,574,24,9900,4352
100,0,622,574,24,9900,4352
100,0,622,564,29,9900,4357
100,0,622,580,21,9900,4349
100,0,622,562,30,9900,4358
100,0,622,600,11,9900,4339
100,0,622,570,26,9900,4354
100,0,622,596,13,9900,4341
100,0,622,580,21,9900,4349
100,0,622,568,27,9900,4355
100,0,622,572,25,9900,4353
100,0,622,590,16,9900,4344
100,0,622,592,15,9900,4343
100,0,622,566,28,9900,4356
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,568,27,9900,4355
100,0,622,570,26,9900,4354
100,0,622,586,18,9900,4346
100,0,622,574,24,9900,4352
100,0,622,578,22,9900,4350
100,0,622,584,19,9900,4347
100,0,622,592,15,9900,4343
100,0,622,586,18,9900,4346
100,0,622,576,23,9900,4351
100,0,622,588,17,9900,4345
100,0,622,582,20,9900,4348
100,0,622,588,17,9900,4345
100,0,622,588,17,9900,4345
100,0,622,584,19,9900,4347
100,0,622,590,16,9900,4344
100,0,622,592,15,9900,4343
100,0,622,574,24,9900,4352
100,0,622,582,20,9900,4348
100,0,622,584,19,9900,4347
100,0,622,588,17,9900,4345
100,0,622,588,17,9900,4345
100,0,622,586,18,9900,4346
100,0,622,562,30,9900,4358
100,0,622,588,17,9900,4345
100,0,622,576,23,9900,4351
100,0,622,572,25,9900,4353
100,0,622,578,22,9900,4350
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,576,23,9900,4351
100,0,622,586,18,9900,4346
100,0,622,578,22,9900,4350
100,0,622,594,14,9900,4342
100,0,622,578,22,9900,4350
100,0,622,592,15,9900,4343
100,0,622,596,13,9900,4341
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,570,26,9900,4354
100,0,622,572,25,9900,4353
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,586,18,9900,4346
100,0,622,576,23,9900,4351
100,0,622,588,17,9900,4345
100,0,622,584,19,9900,4347
100,0,622,562,30,9900,4358
100,0,622,586,18,9900,4346
100,0,622,584,19,9900,4347
100,0,622,594,14,9900,4342
100,0,622,570,26,9900,4354
100,0,622,584,19,9900,4347
100,0,622,590,16,9900,4344
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,594,14,9900,4342
100,0,622,578,22,9900,4350
100,0,622,574,24,9900,4352
100,0,622,568,27,9900,4355
100,0,622,578,22,9900,4350
100,0,622,576,23,9900,4351
100,0,622,574,24,9900,4352
100,0,622,576,23,9900,4351
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,572,25,9900,4353
100,0,622,578,22,9900,4350
100,0,622,588,17,9900,4345
100,0,622,586,18,9900,4346
100,0,622,590,16,9900,4344
100,0,622,586,18,9900,4346
100,0,622,580,21,9900,4349
100,0,622,564,29,9900,4357
100,0,622,582,20,9900,4348
100,0,622,588,17,9900,4345
100,0,622,586,18,9900,4346
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,578,22,9900,4350
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,552,35,9900,4363
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,574,24,9900,4352
100,0,622,564,29,9900,4357
100,0,622,580,21,9900,4349
100,0,622,586,18,9900,4346
100,0,622,570,26,9900,4354
100,0,622,588,17,9900,4345
100,0,622,592,15,9900,4343
100,0,622,588,17,9900,4345
100,0,622,554,34,9900,4362
100,0,622,586,18,9900,4346
100,0,622,570,26,9900,4354
100,0,622,590,16,9900,4344
100,0,622,572,25,9900,4353
100,0,622,586,18,9900,4346
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,578,22,9900,4350
100,0,622,582,20,9900,4348
100,0,622,570,26,9900,4354
100,0,622,590,16,9900,4344
100,0,622,590,16,9900,4344
100,0,622,570,26,9900,4354
100,0,622,590,16,9900,4344
100,0,622,588,17,9900,4345
100,0,622,592,15,9900,4343
100,0,622,584,19,9900,4347
100,0,622,584,19,9900,4347
100,0,622,582,20,9900,4348
100,0,622,562,30,9900,4358
100,0,622,582,20,9900,4348
100,0,622,574,24,9900,4352
100,0,622,568,27,9900,4355
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,590,16,9900,4344
100,0,622,584,19,9900,4347
100,0,622,590,16,9900,4344
100,0,622,572,25,9900,4353
100,0,622,596,13,9900,4341
100,0,622,566,28,9900,4356
100,0,622,568,27,9900,4355
100,0,622,588,17,9900,4345
100,0,622,560,31,9900,4359
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,588,17,9900,4345
100,0,622,586,18,9900,4346
100,0,622,588,17,9900,4345
100,0,622,598,12,9900,4340
100,0,622,578,22,9900,4350
100,0,622,572,25,9900,4353
100,0,622,586,18,9900,4346
100,0,622,574,24,9900,4352
100,0,622,584,19,9900,4347
100,0,622,586,18,9900,4346
100,0,622,586,18,9900,4346
100,0,622,588,17,9900,4345
100,0,622,584,19,9900,4347
100,0,622,592,15,9900,4343
100,0,622,584,19,9900,4347
100,0,622,562,30,9900,4358
100,0,622,584,19,9900,4347
100,0,622,594,14,9900,4342
100,0,622,568,27,9900,4355
100,0,622,586,18,9900,4346
100,0,622,576,23,9900,4351
100,0,622,572,25,9900,4353
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,568,27,9900,4355
100,0,622,560,31,9900,4359
100,0,622,578,22,9900,4350
100,0,622,596,13,9900,4341
100,0,622,562,30,9900,4358
100,0,622,582,20,9900,4348
100,0,622,568,27,9900,4355
100,0,622,572,25,9900,4353
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,588,17,9900,4345
100,0,622,580,21,9900,4349
100,0,622,582,20,9900,4348
100,0,622,578,22,9900,4350
100,0,622,580,21,9900,4349
100,0,622,588,17,9900,4345
100,0,622,578,22,9900,4350
100,0,622,582,20,9900,4348
100,0,622,578,22,9900,4350
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,576,23,9900,4351
100,0,622,578,22,9900,4350
100,0,622,570,26,9900,4354
100,0,622,586,18,9900,4346
100,0,622,582,20,9900,4348
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,568,27,9900,4355
100,0,622,582,20,9900,4348
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,578,22,9900,4350
100,0,622,582,20,9900,4348
100,0,622,586,18,9900,4346
100,0,622,584,19,9900,4347
100,0,622,586,18,9900,4346
100,0,622,592,15,9900,4343
100,0,622,584,19,9900,4347
100,0,622,568,27,9900,4355
100,0,622,566,28,9900,4356
100,0,622,590,16,9900,4344
100,0,622,590,16,9900,4344
100,0,622,576,23,9900,4351
100,0,622,568,27,9900,4355
100,0,622,582,20,9900,4348
100,0,622,574,24,9900,4352
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,574,24,9900,4352
100,0,622,580,21,9900,4349
100,0,622,570,26,9900,4354
100,0,622,558,32,9900,4360
100,0,622,596,13,9900,4341
100,0,622,586,18,9900,4346
100,0,622,588,17,9900,4345
100,0,622,578,22,9900,4350
100,0,622,576,23,9900,4351
100,0,622,578,22,9900,4350
100,0,622,566,28,9900,4356
100,0,622,568,27,9900,4355
100,0,622,588,17,9900,4345
100,0,622,592,15,9900,4343
100,0,622,584,19,9900,4347
100,0,622,570,26,9900,4354
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,570,26,9900,4354
100,0,622,588,17,9900,4345
100,0,622,588,17,9900,4345
100,0,622,578,22,9900,4350
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,570,26,9900,4354
100,0,622,584,19,9900,4347
100,0,622,574,24,9900,4352
100,0,622,558,32,9900,4360
100,0,622,564,29,9900,4357
100,0,622,576,23,9900,4351
100,0,622,582,20,9900,4348
100,0,622,574,24,9900,4352
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,574,24,9900,4352
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,566,28,9900,4356
100,0,622,592,15,9900,4343
100,0,622,572,25,9900,4353
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,574,24,9900,4352
100,0,622,588,17,9900,4345
100,0,622,580,21,9900,4349
100,0,622,592,15,9900,4343
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,592,15,9900,4343
100,0,622,592,15,9900,4343
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,564,29,9900,4357
100,0,622,572,25,9900,4353
100,0,622,582,20,9900,4348
100,0,622,564,29,9900,4357
100,0,622,582,20,9900,4348
100,0,622,594,14,9900,4342
100,0,622,572,25,9900,4353
100,0,622,584,19,9900,4347
100,0,622,582,20,9900,4348
100,0,622,576,23,9900,4351
100,0,622,570,26,9900,4354
100,0,622,588,17,9900,4345
100,0,622,588,17,9900,4345
100,0,622,584,19,9900,4347
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,590,16,9900,4344
100,0,622,576,23,9900,4351
100,0,622,584,19,9900,4347
100,0,622,582,20,9900,4348
100,0,622,560,31,9900,4359
100,0,622,592,15,9900,4343
100,0,622,582,20,9900,4348
100,0,622,562,30,9900,4358
100,0,622,576,23,9900,4351
100,0,622,590,16,9900,4344
100,0,622,590,16,9900,4344
100,0,622,562,30,9900,4358
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,582,20,9900,4348
100,0,622,566,28,9900,4356
100,0,622,574,24,9900,4352
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,574,24,9900,4352
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,582,20,9900,4348
100,0,622,572,25,9900,4353
100,0,622,580,21,9900,4349
100,0,622,586,18,9900,4346
100,0,622,582,20,9900,4348
100,0,622,578,22,9900,4350
100,0,622,592,15,9900,4343
100,0,622,564,29,9900,4357
100,0,622,578,22,9900,4350
100,0,622,586,18,9900,4346
100,0,622,580,21,9900,4349
100,0,622,570,26,9900,4354
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,586,18,9900,4346
100,0,622,578,22,9900,4350
100,0,622,588,17,9900,4345
100,0,622,596,13,9900,4341
100,0,622,594,14,9900,4342
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,588,17,9900,4345
100,0,622,586,18,9900,4346
100,0,622,592,15,9900,4343
100,0,622,582,20,9900,4348
100,0,622,584,19,9900,4347
100,0,622,588,17,9900,4345
100,0,622,586,18,9900,4346
100,0,622,590,16,9900,4344
100,0,622,578,22,9900,4350
100,0,622,574,24,9900,4352
100,0,622,570,26,9900,4354
100,0,622,582,20,9900,4348
100,0,622,588,17,9900,4345
100,0,622,592,15,9900,4343
100,0,622,576,23,9900,4351
100,0,622,584,19,9900,4347
100,0,622,594,14,9900,4342
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,578,22,9900,4350
100,0,622,572,25,9900,4353
100,0,622,582,20,9900,4348
100,0,622,592,15,9900,4343
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,584,19,9900,4347
100,0,622,568,27,9900,4355
100,0,622,578,22,9900,4350
100,0,622,580,21,9900,4349
100,0,622,574,24,9900,4352
100,0,622,594,14,9900,4342
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,582,20,9900,4348
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,584,19,9900,4347
100,0,622,586,18,9900,4346
100,0,622,574,24,9900,4352
100,0,622,580,21,9900,4349
100,0,622,566,28,9900,4356
100,0,622,584,19,9900,4347
100,0,622,570,26,9900,4354
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,568,27,9900,4355
100,0,622,570,26,9900,4354
100,0,622,578,22,9900,4350
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,568,27,9900,4355
100,0,622,574,24,9900,4352
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,562,30,9900,4358
100,0,622,584,19,9900,4347
100,0,622,564,29,9900,4357
100,0,622,588,17,9900,4345
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,584,19,9900,4347
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,576,23,9900,4351
100,0,622,570,26,9900,4354
100,0,622,592,15,9900,4343
100,0,622,586,18,9900,4346
100,0,622,582,20,9900,4348
100,0,622,580,21,9900,4349
100,0,622,584,19,9900,4347
100,0,622,586,18,9900,4346
100,0,622,590,16,9900,4344
100,0,622,556,33,9900,4361
100,0,622,584,19,9900,4347
100,0,622,578,22,9900,4350
100,0,622,584,19,9900,4347
100,0,622,588,17,9900,4345
100,0,622,574,24,9900,4352
100,0,622,580,21,9900,4349
100,0,622,580,21,9900,4349
100,0,622,578,22,9900,4350
100,0,622,578,22,9900,4350
100,0,622,584,19,9900,4347
100,0,622,590,16,9900,4344
100,0,622,584,19,9900,4347
100,0,622,580,21,9900,4349
100,0,622,576,23,9900,4351
100,0,622,584,19,9900,4347
100,0,622,586,18,9900,4346
100,0,622,578,22,9900,4350
100,0,622,582,20,9900,4348
100,0,622,570,26,9900,4354
100,0,622,582,20,9900,4348
100,0,622,586,18,9900,4346
100,0,622,560,31,9900,4359
100,0,622,588,17,9900,4345
100,0,622,576,23,9900,4351
100,0,622,574,24,9900,4352
100,0,622,564,29,9900,4357
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,572,25,9900,4353
100,0,622,586,18,9900,4346
100,0,622,596,13,9900,4341
100,0,622,582,20,9900,4348
100,0,622,586,18,9900,4346
100,0,622,564,29,9900,4357
100,0,622,566,28,9900,4356
100,0,622,590,16,9900,4344
100,0,622,588,17,9900,4345
100,0,622,598,12,9900,4340
100,0,622,594,14,9900,4342
100,0,622,568,27,9900,4355
100,0,622,574,24,9900,4352
100,0,622,582,20,9900,4348
100,0,622,586,18,9900,4346
100,0,622,572,25,9900,4353
100,0,622,582,20,9900,4348
100,0,622,558,32,9900,4360
100,0,622,594,14,9900,4342
100,0,622,576,23,9900,4351
100,0,622,580,21,9900,4349
100,0,622,582,20,9900,4348
100,0,622,574,24,9900,4352
100,0,622,572,25,9900,4353
100,0,622,586,18,9900,4346
100,0,622,578,22,9900,4350
100,0,622,572,25,9900,4353
100,0,622,562,30,9900,4358
100,0,622,574,24,9900,4352
100,0,622,588,17,9900,4345
100,0,622,582,20,9900,4348
100,0,622,582,20,9900,4348
100,0,622,598,12,9900,4340
100,0,622,586,18,9900,4346
